iter	Logloss
0	0.6828152936
1	0.6702081652
2	0.6566639737
3	0.6454949186
4	0.635029077
5	0.6224132481
6	0.608872158
7	0.6023067065
8	0.5903292294
9	0.5783064639
10	0.5647176775
11	0.5586233196
12	0.5526956712
13	0.5406722238
14	0.5299677808
15	0.5245888349
16	0.5165445758
17	0.5051321856
18	0.4949024392
19	0.4871253417
20	0.4785185657
21	0.4705221899
22	0.4613144197
23	0.4554052482
24	0.4478553417
25	0.4404690535
26	0.4336629336
27	0.427094558
28	0.4217095632
29	0.4137632014
30	0.4074688106
31	0.4005810042
32	0.3946529118
33	0.3879584421
34	0.3826503942
35	0.378444763
36	0.3756564557
37	0.3709664172
38	0.36846135
39	0.3627801105
40	0.3604205085
41	0.3580942586
42	0.3526624404
43	0.3473213155
44	0.3423332189
45	0.3390442953
46	0.3348222482
47	0.330346704
48	0.3263233429
49	0.3217522846
50	0.3186874187
51	0.3153541247
52	0.3119544048
53	0.3078131938
54	0.306148914
55	0.3042309056
56	0.3028795047
57	0.2990827973
58	0.297724047
59	0.2943067883
60	0.2918666162
61	0.2888564709
62	0.2871329486
63	0.2841428744
64	0.2813912571
65	0.2787647263
66	0.2766099576
67	0.2742063403
68	0.2724020704
69	0.2690314015
70	0.2680800464
71	0.2672999527
72	0.2656188529
73	0.2646895039
74	0.2636598078
75	0.2623942481
76	0.2598731366
77	0.2574347377
78	0.2557559029
79	0.253235528
80	0.251142445
81	0.2491994962
82	0.2481798425
83	0.2469062665
84	0.2449139357
85	0.2431281786
86	0.2410995058
87	0.2399003081
88	0.2380011719
89	0.2361143925
90	0.2344952407
91	0.2325488248
92	0.2315375953
93	0.2310055153
94	0.2292984432
95	0.2284390846
96	0.2280227134
97	0.2275535258
98	0.2268926192
99	0.2252330455
100	0.2237840614
101	0.2229312817
102	0.2224258993
103	0.2209714882
104	0.2196667447
105	0.2181072981
106	0.2165593142
107	0.2149929488
108	0.2140597799
109	0.2128904096
110	0.2115499832
111	0.2101399376
112	0.2082103343
113	0.2075615549
114	0.2063289276
115	0.2051375542
116	0.2041186202
117	0.2031249552
118	0.2020974847
119	0.2012086082
120	0.2006568439
121	0.2001558928
122	0.1986450717
123	0.1977642857
124	0.1967808524
125	0.1956542413
126	0.1945485971
127	0.1931048036
128	0.1921529101
129	0.1913986797
130	0.1903764586
131	0.1897571496
132	0.1891296281
133	0.1881313349
134	0.1872757677
135	0.1864029091
136	0.1856034443
137	0.1847079868
138	0.1839393144
139	0.183125721
140	0.1821353514
141	0.1815059582
142	0.1805967216
143	0.1798587465
144	0.1792286072
145	0.1783970046
146	0.1781548803
147	0.1773938675
148	0.1764642605
149	0.175804206
150	0.1752538017
151	0.1748975147
152	0.1740117109
153	0.1736995113
154	0.1730775774
155	0.1726795933
156	0.172204067
157	0.1716466275
158	0.1708046056
159	0.1703796819
160	0.1696085789
161	0.1692832629
162	0.1690273352
163	0.1689024593
164	0.1684771708
165	0.1680013699
166	0.1673378389
167	0.1667587018
168	0.1662090385
169	0.1654656845
170	0.1647488894
171	0.1641291365
172	0.1639057232
173	0.1634956372
174	0.1630471176
175	0.1627566238
176	0.1620180043
177	0.1615216413
178	0.1612483339
179	0.1606393434
180	0.1602372943
181	0.1595612556
182	0.1594814701
183	0.1594231129
184	0.1586376155
185	0.1582074046
186	0.1577721852
187	0.1574080682
188	0.1569733528
189	0.1565011653
190	0.1558306763
191	0.1551939117
192	0.1547957325
193	0.1544363721
194	0.1538751651
195	0.1532694559
196	0.1527663888
197	0.1527603062
198	0.1526486534
199	0.1520947181
200	0.1516174482
201	0.1515200165
202	0.1509806852
203	0.1505572055
204	0.1501431358
205	0.1498680162
206	0.1496951685
207	0.1493738166
208	0.1491540894
209	0.1486400991
210	0.148247806
211	0.1478122672
212	0.1472549681
213	0.1466649123
214	0.1463610943
215	0.1460871301
216	0.1456522437
217	0.1456367962
218	0.145509443
219	0.1450198649
220	0.1447383927
221	0.1444733775
222	0.144254367
223	0.1438710926
224	0.1434826127
225	0.1431072248
226	0.1430923347
227	0.1424762299
228	0.1423051316
229	0.1418841404
230	0.1416447086
231	0.1412057915
232	0.1408578148
233	0.1407771981
234	0.1403616398
235	0.1399867885
236	0.1395904355
237	0.1391717772
238	0.1386241169
239	0.1384100436
240	0.1380653737
241	0.1380517096
242	0.1376266623
243	0.137467124
244	0.1371294304
245	0.1370176041
246	0.1366960507
247	0.1363951897
248	0.1359963293
249	0.1356846929
250	0.1354763149
251	0.1354189849
252	0.1351325329
253	0.1349624711
254	0.1345013978
255	0.1344784689
256	0.1344219827
257	0.1342354752
258	0.1342225149
259	0.1340429119
260	0.1338569979
261	0.1336041467
262	0.1334400964
263	0.1331923725
264	0.1329677503
265	0.1327697477
266	0.132570772
267	0.1325581357
268	0.1322946669
269	0.1319398628
270	0.1314957899
271	0.1313081272
272	0.1311455682
273	0.1308187694
274	0.1307619823
275	0.1304995615
276	0.1302761247
277	0.1299088563
278	0.1294579998
279	0.1293341353
280	0.1291069008
281	0.1288897633
282	0.128786457
283	0.1284952408
284	0.1282392014
285	0.1282389592
286	0.1280367961
287	0.1278599959
288	0.1278477769
289	0.1276803345
290	0.1273510231
291	0.1272055132
292	0.1270616388
293	0.1268595
294	0.1268475781
295	0.1264507838
296	0.1262659423
297	0.1262300572
298	0.1260749786
299	0.1260593919
300	0.126014887
301	0.1256848641
302	0.1254219604
303	0.1253709073
304	0.1251749155
305	0.1247634162
306	0.1247184995
307	0.1246273377
308	0.1244226488
309	0.1241592519
310	0.1241477358
311	0.1240420464
312	0.1240067411
313	0.1238269315
314	0.1235275345
315	0.1233161684
316	0.1230422502
317	0.1228432483
318	0.1226619085
319	0.1225257358
320	0.1222702366
321	0.122254619
322	0.1221140923
323	0.1220778981
324	0.1219555023
325	0.1217772955
326	0.1214004605
327	0.1210780715
328	0.1209709356
329	0.1208976435
330	0.1208827278
331	0.1207018496
332	0.1205099836
333	0.1204127304
334	0.1202200945
335	0.1202045626
336	0.1200230283
337	0.1198305587
338	0.1196046608
339	0.1193005383
340	0.1189346054
341	0.1186619256
342	0.1184280032
343	0.118174457
344	0.1181559314
345	0.1178522553
346	0.1175821286
347	0.1174285821
348	0.1174162061
349	0.1172662584
350	0.1169094604
351	0.1166928514
352	0.1166519097
353	0.1163995127
354	0.1161890302
355	0.1158951722
356	0.1158696039
357	0.115770215
358	0.1157071818
359	0.1156578858
360	0.1155656056
361	0.115313597
362	0.1152509139
363	0.1150517965
364	0.1148231462
365	0.1146690551
366	0.1145242479
367	0.1144806876
368	0.1144705189
369	0.1144543834
370	0.114136207
371	0.114050434
372	0.1139762889
373	0.1138061765
374	0.1136708741
375	0.1136536039
376	0.1135613312
377	0.1132730262
378	0.1130345515
379	0.1130306557
380	0.1130209968
381	0.1128451886
382	0.1125910699
383	0.1124022683
384	0.1122109247
385	0.1122014628
386	0.1121497019
387	0.1121404253
388	0.1120752268
389	0.1118764711
390	0.1117561164
391	0.1115732542
392	0.1114048833
393	0.1112136139
394	0.1108790744
395	0.1108664136
396	0.1107499596
397	0.1107481458
398	0.1107390548
399	0.1105489842
400	0.1104130971
401	0.110324677
402	0.1102949416
403	0.1102053754
404	0.1101734231
405	0.1101635672
406	0.110069037
407	0.1100571346
408	0.1098561496
409	0.1096694541
410	0.109547457
411	0.1093663991
412	0.1093454916
413	0.109199215
414	0.1090627204
415	0.1087988482
416	0.1087902736
417	0.1085663953
418	0.1085529636
419	0.1083609684
420	0.1080941729
421	0.1079356593
422	0.1077218462
423	0.107438701
424	0.1074299171
425	0.1072393195
426	0.1071655844
427	0.1071564135
428	0.1071480835
429	0.1069078343
430	0.1067420696
431	0.1066635945
432	0.1064303729
433	0.1063433574
434	0.1060817968
435	0.1059298923
436	0.1057065516
437	0.1054465236
438	0.1052573608
439	0.1051445288
440	0.1049721735
441	0.1048870387
442	0.1048243642
443	0.1047084394
444	0.1046490567
445	0.1044574122
446	0.1043954432
447	0.1042409955
448	0.104095729
449	0.1040859484
450	0.1040091172
451	0.10400133
452	0.103895328
453	0.1038085277
454	0.1036916905
455	0.1035995387
456	0.103573256
457	0.1035656708
458	0.1034150951
459	0.1032216031
460	0.103165838
461	0.1030332846
462	0.1029131107
463	0.1028275443
464	0.102757807
465	0.1027012122
466	0.1026937289
467	0.1024913051
468	0.1023182982
469	0.1020950611
470	0.1018642142
471	0.1017161131
472	0.1016462747
473	0.1014300048
474	0.1013669797
475	0.101139872
476	0.1009870108
477	0.1009062735
478	0.1008121915
479	0.1006234655
480	0.1004182966
481	0.1004178579
482	0.1003877843
483	0.1002589338
484	0.1000637178
485	0.09982233254
486	0.09973241129
487	0.09951581895
488	0.09935254514
489	0.09934470492
490	0.09928835227
491	0.09909654096
492	0.09909226472
493	0.09882276064
494	0.09880013947
495	0.0986966094
496	0.09868637631
497	0.09858845893
498	0.09838208002
499	0.09837505305
500	0.09822972605
501	0.09822293041
502	0.09808718371
503	0.09793673681
504	0.09785083116
505	0.0976530416
506	0.09750108254
507	0.09731485813
508	0.09716040366
509	0.09713806605
510	0.09696834228
511	0.09687936925
512	0.09666600459
513	0.09647850893
514	0.09631515177
515	0.09629868474
516	0.09601359669
517	0.09585225147
518	0.09577625678
519	0.09575642192
520	0.09560621215
521	0.09547938492
522	0.09543551651
523	0.09542457342
524	0.09531370911
525	0.09514680725
526	0.09487450496
527	0.09475774123
528	0.09461004567
529	0.09460363646
530	0.09451858351
531	0.0945099798
532	0.09442575515
533	0.09439345007
534	0.09435220097
535	0.09425359321
536	0.09409138257
537	0.09408508462
538	0.09407075842
539	0.09406470374
540	0.09395094522
541	0.09382965089
542	0.09366590602
543	0.09339547306
544	0.09337669782
545	0.09321209719
546	0.09314501907
547	0.09311939263
548	0.09303815075
549	0.09299352359
550	0.09298700331
551	0.09283544332
552	0.09279988894
553	0.09263084015
554	0.09254531457
555	0.09240937084
556	0.09221791427
557	0.09199495236
558	0.09188701719
559	0.0918102332
560	0.0917921154
561	0.09176644369
562	0.09154766482
563	0.09146804116
564	0.091276138
565	0.091129698
566	0.09098136985
567	0.09090454949
568	0.09077966915
569	0.09063482849
570	0.09058269143
571	0.09038736564
572	0.09019230234
573	0.09014817377
574	0.09000712647
575	0.08992381495
576	0.08981603781
577	0.08977287012
578	0.08977283968
579	0.08962936816
580	0.08959676736
581	0.0895912599
582	0.08952481631
583	0.08947142326
584	0.08943379538
585	0.08935632486
586	0.08922877866
587	0.08918001169
588	0.08899962883
589	0.08892989012
590	0.0888061947
591	0.08876294863
592	0.08874113612
593	0.08859408001
594	0.0885585967
595	0.08839000355
596	0.08834836467
597	0.08820478047
598	0.08814160372
599	0.08807392824
600	0.08781311648
601	0.0876938021
602	0.08752473021
603	0.08748997545
604	0.08734533654
605	0.08718990485
606	0.08717963654
607	0.08712536927
608	0.08703996967
609	0.08689513392
610	0.08679508632
611	0.08679016726
612	0.08668353129
613	0.08657578148
614	0.08648306385
615	0.08633810647
616	0.08631562543
617	0.08619727266
618	0.08600232236
619	0.08571738517
620	0.08551910743
621	0.08534248135
622	0.08522543801
623	0.08519084746
624	0.08518605054
625	0.08511283577
626	0.08505806065
627	0.08505335368
628	0.08486085893
629	0.08471335419
630	0.08467658268
631	0.08456403315
632	0.08440100939
633	0.08429889761
634	0.08417078365
635	0.08405846315
636	0.08396044855
637	0.08390748164
638	0.08376933897
639	0.08376464251
640	0.08363875873
641	0.08363400254
642	0.08358808057
643	0.08352867125
644	0.08338607419
645	0.08318888483
646	0.08315588454
647	0.08314891382
648	0.08314441339
649	0.0831399569
650	0.08305263142
651	0.08294865973
652	0.08294152699
653	0.08272250429
654	0.08258399168
655	0.08254696737
