iter	Passed	Remaining
0	2	2889
1	7	3585
2	11	3856
3	14	3671
4	18	3602
5	21	3601
6	24	3496
7	26	3346
8	30	3321
9	44	4371
10	54	4895
11	56	4621
12	65	4997
13	84	5967
14	98	6438
15	100	6158
16	104	6038
17	107	5837
18	113	5879
19	116	5723
20	122	5690
21	137	6106
22	153	6526
23	158	6444
24	172	6739
25	174	6554
26	183	6618
27	190	6613
28	193	6489
29	202	6538
30	213	6676
31	219	6646
32	225	6618
33	239	6796
34	253	6999
35	257	6890
36	259	6749
37	274	6955
38	276	6812
39	280	6723
40	283	6640
41	285	6517
42	288	6428
43	300	6538
44	321	6829
45	326	6774
46	329	6677
47	344	6837
48	347	6743
49	351	6682
50	363	6761
51	368	6711
52	373	6679
53	385	6748
54	387	6662
55	391	6597
56	402	6667
57	407	6611
58	415	6628
59	420	6587
60	434	6681
61	449	6801
62	451	6721
63	463	6780
64	467	6727
65	480	6806
66	485	6754
67	499	6848
68	502	6782
69	508	6757
70	520	6808
71	522	6736
72	527	6692
73	529	6628
74	533	6577
75	546	6646
76	550	6598
77	558	6596
78	564	6580
79	571	6569
80	575	6529
81	592	6638
82	604	6675
83	607	6620
84	610	6576
85	618	6578
86	638	6700
87	654	6779
88	657	6732
89	664	6720
90	668	6673
91	671	6625
92	676	6592
93	687	6629
94	692	6600
95	696	6554
96	697	6496
97	700	6448
98	703	6404
99	718	6469
100	722	6426
101	726	6393
102	731	6370
103	741	6385
104	744	6344
105	747	6303
106	750	6265
107	773	6388
108	778	6360
109	783	6338
110	787	6304
111	790	6268
112	794	6238
113	799	6215
114	803	6184
115	806	6146
116	809	6112
117	813	6077
118	816	6042
119	819	6006
120	822	5975
121	824	5935
122	827	5900
123	831	5873
124	834	5840
125	838	5815
126	841	5787
127	859	5855
128	881	5950
129	894	5987
130	926	6145
131	940	6183
132	943	6151
133	953	6159
134	966	6190
135	970	6162
136	972	6126
137	985	6158
138	1002	6210
139	1016	6242
140	1019	6212
141	1035	6257
142	1043	6252
143	1047	6224
144	1059	6249
145	1063	6221
146	1071	6219
147	1079	6215
148	1087	6208
149	1091	6182
150	1103	6202
151	1106	6171
152	1114	6170
153	1120	6156
154	1133	6179
155	1136	6148
156	1149	6172
157	1152	6142
158	1157	6122
159	1163	6110
160	1177	6134
161	1180	6108
162	1187	6096
163	1189	6063
164	1192	6036
165	1204	6050
166	1215	6064
167	1219	6040
168	1227	6036
169	1230	6008
170	1242	6023
171	1245	5993
172	1252	5987
173	1264	6002
174	1268	5979
175	1278	5983
176	1281	5957
177	1292	5968
178	1302	5972
179	1305	5945
180	1311	5932
181	1314	5908
182	1341	5987
183	1343	5957
184	1356	5976
185	1360	5952
186	1377	5989
187	1391	6009
188	1394	5984
189	1407	6001
190	1411	5979
191	1425	6000
192	1430	5979
193	1438	5977
194	1455	6010
195	1459	5987
196	1468	5987
197	1470	5955
198	1472	5926
199	1482	5930
200	1488	5917
201	1497	5914
202	1503	5902
203	1507	5883
204	1520	5895
205	1523	5872
206	1529	5857
207	1538	5856
208	1552	5876
209	1563	5880
210	1579	5904
211	1594	5926
212	1598	5906
213	1607	5903
214	1610	5879
215	1616	5867
216	1633	5892
217	1634	5863
218	1638	5842
219	1646	5836
220	1649	5813
221	1660	5819
222	1664	5798
223	1671	5789
224	1676	5775
225	1688	5781
226	1689	5753
227	1698	5752
228	1713	5768
229	1730	5794
230	1741	5797
231	1754	5809
232	1759	5791
233	1762	5769
234	1765	5747
235	1769	5727
236	1780	5731
237	1791	5736
238	1794	5714
239	1797	5692
240	1809	5699
241	1811	5674
242	1827	5693
243	1831	5674
244	1844	5683
245	1847	5662
246	1862	5678
247	1866	5660
248	1872	5646
249	1882	5647
250	1885	5626
251	1886	5600
252	1899	5609
253	1904	5593
254	1916	5600
255	1919	5579
256	1921	5555
257	1927	5544
258	1930	5522
259	1939	5518
260	1956	5540
261	1959	5519
262	1966	5511
263	1969	5490
264	1985	5506
265	2000	5518
266	2012	5526
267	2014	5502
268	2018	5484
269	2029	5486
270	2032	5468
271	2035	5448
272	2048	5453
273	2060	5458
274	2064	5442
275	2079	5453
276	2082	5436
277	2086	5418
278	2100	5426
279	2103	5409
280	2106	5391
281	2112	5377
282	2116	5361
283	2119	5343
284	2123	5328
285	2133	5327
286	2138	5312
287	2142	5297
288	2148	5285
289	2152	5268
290	2161	5265
291	2163	5245
292	2166	5226
293	2169	5209
294	2181	5212
295	2196	5223
296	2199	5205
297	2200	5184
298	2206	5173
299	2208	5153
300	2221	5158
301	2232	5160
302	2237	5145
303	2243	5135
304	2246	5119
305	2258	5121
306	2268	5120
307	2271	5103
308	2281	5101
309	2285	5086
310	2290	5074
311	2296	5064
312	2299	5047
313	2307	5040
314	2315	5034
315	2324	5031
316	2329	5018
317	2340	5020
318	2344	5004
319	2352	4998
320	2354	4981
321	2357	4962
322	2361	4948
323	2364	4934
324	2367	4917
325	2371	4902
326	2374	4887
327	2377	4871
328	2381	4856
329	2385	4843
330	2390	4831
331	2393	4815
332	2396	4800
333	2412	4811
334	2416	4796
335	2418	4778
336	2421	4763
337	2423	4747
338	2426	4731
339	2429	4716
340	2432	4701
341	2436	4686
342	2438	4671
343	2444	4662
344	2447	4646
345	2462	4654
346	2465	4640
347	2469	4626
348	2471	4611
349	2483	4613
350	2487	4599
351	2491	4585
352	2496	4576
353	2500	4562
354	2503	4549
355	2514	4548
356	2516	4532
357	2525	4528
358	2528	4514
359	2544	4522
360	2547	4509
361	2558	4508
362	2568	4507
363	2571	4493
364	2578	4485
365	2590	4487
366	2593	4472
367	2595	4456
368	2599	4444
369	2602	4430
370	2614	4433
371	2627	4436
372	2648	4451
373	2652	4438
374	2661	4435
375	2664	4421
376	2669	4411
377	2674	4401
378	2682	4395
379	2684	4379
380	2686	4364
381	2696	4362
382	2707	4361
383	2720	4364
384	2733	4366
385	2735	4351
386	2738	4337
387	2740	4322
388	2742	4307
389	2751	4304
390	2755	4291
391	2758	4277
392	2760	4264
393	2764	4251
394	2767	4238
395	2776	4234
396	2779	4221
397	2783	4210
398	2789	4202
399	2792	4189
400	2799	4182
401	2812	4183
402	2824	4184
403	2837	4186
404	2848	4184
405	2850	4170
406	2858	4165
407	2860	4150
408	2863	4138
409	2872	4134
410	2883	4131
411	2886	4119
412	2888	4104
413	2894	4096
414	2897	4084
415	2906	4080
416	2913	4073
417	2917	4062
418	2919	4048
419	2922	4035
420	2926	4024
421	2934	4019
422	2942	4014
423	2952	4010
424	2954	3997
425	2963	3992
426	2973	3989
427	2980	3982
428	2981	3968
429	2988	3961
430	2994	3953
431	3007	3954
432	3010	3941
433	3013	3930
434	3022	3925
435	3034	3924
436	3043	3921
437	3052	3916
438	3055	3904
439	3058	3892
440	3068	3889
441	3075	3882
442	3079	3872
443	3091	3871
444	3095	3860
445	3098	3848
446	3105	3841
447	3109	3831
448	3112	3819
449	3119	3812
450	3122	3801
451	3124	3787
452	3130	3779
453	3133	3768
454	3136	3757
455	3139	3745
456	3142	3733
457	3144	3720
458	3147	3710
459	3157	3706
460	3169	3705
461	3173	3695
462	3176	3683
463	3180	3674
464	3187	3667
465	3199	3665
466	3200	3653
467	3208	3646
468	3215	3640
469	3224	3635
470	3226	3624
471	3230	3613
472	3238	3608
473	3241	3596
474	3248	3590
475	3257	3585
476	3263	3578
477	3273	3574
478	3276	3563
479	3288	3562
480	3304	3565
481	3306	3552
482	3308	3540
483	3321	3540
484	3324	3529
485	3338	3530
486	3344	3522
487	3347	3511
488	3350	3501
489	3352	3489
490	3355	3478
491	3365	3474
492	3373	3469
493	3380	3462
494	3388	3457
495	3392	3447
496	3404	3445
497	3406	3434
498	3419	3432
499	3421	3421
500	3424	3410
501	3431	3404
502	3448	3407
503	3451	3397
504	3463	3395
505	3466	3384
506	3478	3382
507	3481	3372
508	3489	3366
509	3491	3355
510	3496	3345
511	3504	3340
512	3507	3330
513	3510	3319
514	3514	3309
515	3518	3300
516	3522	3290
517	3525	3280
518	3536	3277
519	3538	3266
520	3541	3255
521	3551	3252
522	3561	3248
523	3565	3238
524	3576	3235
525	3580	3226
526	3584	3217
527	3588	3207
528	3593	3199
529	3595	3188
530	3607	3186
531	3609	3175
532	3624	3175
533	3641	3178
534	3661	3182
535	3665	3172
536	3677	3170
537	3679	3159
538	3690	3156
539	3692	3145
540	3696	3136
541	3702	3128
542	3713	3125
543	3717	3115
544	3726	3111
545	3732	3103
546	3746	3103
547	3751	3094
548	3754	3084
549	3763	3079
550	3766	3069
551	3776	3064
552	3782	3057
553	3786	3048
554	3790	3039
555	3801	3035
556	3805	3026
557	3813	3020
558	3816	3011
559	3830	3009
560	3832	2998
561	3834	2988
562	3837	2978
563	3847	2974
564	3851	2965
565	3855	2956
566	3859	2947
567	3870	2944
568	3890	2947
569	3897	2940
570	3899	2929
571	3932	2942
572	3943	2938
573	3947	2930
574	3965	2931
575	3981	2930
576	3984	2921
577	3997	2918
578	4002	2910
579	4006	2901
580	4021	2900
581	4023	2889
582	4028	2881
583	4032	2872
584	4035	2862
585	4039	2853
586	4044	2845
587	4053	2839
588	4057	2831
589	4067	2826
590	4071	2817
591	4088	2817
592	4104	2817
593	4115	2813
594	4118	2803
595	4134	2802
596	4138	2793
597	4150	2790
598	4153	2780
599	4163	2775
600	4171	2769
601	4176	2761
602	4189	2758
603	4199	2753
604	4212	2750
605	4227	2748
606	4229	2738
607	4232	2728
608	4244	2725
609	4247	2715
610	4258	2711
611	4260	2701
612	4263	2691
613	4271	2685
614	4279	2678
615	4282	2669
616	4286	2660
617	4304	2660
618	4307	2651
619	4317	2646
620	4326	2640
621	4332	2632
622	4341	2627
623	4349	2620
624	4355	2613
625	4368	2609
